date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:03:10	114/114	---M-Z	200	added ('OK')	text/plain	date:Mon,%2029%20Jul%202024%2015:35:32%20GMT	https://tuev-thueringen.de/robots.txt		(from )
09:03:10	377434/377434	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:11%20GMT	https://tuev-thueringen.de/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/index.html	(from )
09:03:11	372/372	---M-Z	200	added ('OK')	text/xml	date:Sat,%2021%20Sep%202024%2004:03:12%20GMT	https://tuev-thueringen.de/blog.rss	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/blog.rss	(from https://tuev-thueringen.de/)
09:03:14	13107/13107	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jul%202021%2008:35:39%20GMT	https://tuev-thueringen.de/media/07/60/2d/1625214939/favicon_tuev.png	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/media/07/60/2d/1625214939/favicon_tuev.png	(from https://tuev-thueringen.de/)
09:03:14	89270/89270	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Aug%202024%2015:15:08%20GMT	https://tuev-thueringen.de/bundles/moorlfoundation/storefront/css/animate.css?1724080508	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/bundles/moorlfoundation/storefront/css/animatecace.css	(from https://tuev-thueringen.de/)
09:03:16	119184/119184	---M-Z	200	added ('OK')	application/javascript	etag:%221d190-622613f36ec00-gzip%22	http://code.etracker.com/code/e.js	C:/My%20Web%20Sites/german%20project/code.etracker.com/code/e.js	(from https://tuev-thueringen.de/)
09:03:16	567275/567275	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Jul%202024%2007:13:55%20GMT	https://tuev-thueringen.de/theme/70322dd115872d1ff017fbecf050eeed/css/all.css?1722323635	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/theme/70322dd115872d1ff017fbecf050eeed/css/all3fb7.css	(from https://tuev-thueringen.de/)
09:03:17	1164388/1164388	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2030%20Jul%202024%2007:13:55%20GMT	https://tuev-thueringen.de/theme/70322dd115872d1ff017fbecf050eeed/js/all.js?1722323635	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/theme/70322dd115872d1ff017fbecf050eeed/js/all3fb7.js	(from https://tuev-thueringen.de/)
09:03:18	268918/268918	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Oct%202021%2013:02:29%20GMT	https://tuev-thueringen.de/media/0b/b9/b4/1635426149/TT.jpg	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/media/0b/b9/b4/1635426149/TT.jpg	(from https://tuev-thueringen.de/)
09:03:18	418/418	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Sep%202024%2004:03:18%20GMT	https://tuev-thueringen.de/Call-Back/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/Call-Back/index.html	(from https://tuev-thueringen.de/)
09:03:18	612118/612118	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:18%20GMT	https://tuev-thueringen.de/account/login	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/login.html	(from https://tuev-thueringen.de/)
09:03:18	325010/325010	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Sep%202024%2011:52:47%20GMT	https://tuev-thueringen.de/theme/3f6233f0b5934853b72b38eab2b3c6b9/assets/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/theme/3f6233f0b5934853b72b38eab2b3c6b9/assets/index.html	(from https://tuev-thueringen.de/)
09:03:18	650/650	---MC-	302	error ('Found')	text/html	date:Sat,%2021%20Sep%202024%2004:03:19%20GMT	https://tuev-thueringen.de/account	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account	(from https://tuev-thueringen.de/)
09:03:19	612168/612168	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:19%20GMT	https://tuev-thueringen.de/account/login?redirectTo=frontend.account.home.page&redirectParameters=%7B%22_noStore%22:true%7D	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/loginb736.html	(from https://tuev-thueringen.de/)
09:03:19	662/662	---MC-	302	error ('Found')	text/html	date:Sat,%2021%20Sep%202024%2004:03:20%20GMT	https://tuev-thueringen.de/account/profile	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/profile	(from https://tuev-thueringen.de/)
09:03:20	612174/612174	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:20%20GMT	https://tuev-thueringen.de/account/login?redirectTo=frontend.account.profile.page&redirectParameters=%7B%22_noStore%22:true%7D	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/login48dd.html	(from https://tuev-thueringen.de/)
09:03:20	662/662	---MC-	302	error ('Found')	text/html	date:Sat,%2021%20Sep%202024%2004:03:21%20GMT	https://tuev-thueringen.de/account/address	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/address	(from https://tuev-thueringen.de/)
09:03:21	612176/612176	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:21%20GMT	https://tuev-thueringen.de/account/login?redirectTo=frontend.account.address.page&redirectParameters=%7B%22_noStore%22:true%7D	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/login685b.html	(from https://tuev-thueringen.de/)
09:03:21	662/662	---MC-	302	error ('Found')	text/html	date:Sat,%2021%20Sep%202024%2004:03:22%20GMT	https://tuev-thueringen.de/account/payment	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/payment	(from https://tuev-thueringen.de/)
09:03:22	612176/612176	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:22%20GMT	https://tuev-thueringen.de/account/login?redirectTo=frontend.account.payment.page&redirectParameters=%7B%22_noStore%22:true%7D	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/loginfd3e.html	(from https://tuev-thueringen.de/)
09:03:22	758/758	---MC-	302	error ('Found')	text/html	date:Sat,%2021%20Sep%202024%2004:03:22%20GMT	https://tuev-thueringen.de/account/order	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/order	(from https://tuev-thueringen.de/)
09:03:23	612234/612234	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:23%20GMT	https://tuev-thueringen.de/account/login?redirectTo=frontend.account.order.page&redirectParameters=%7B%22XmlHttpRequest%22:true,%22_noStore%22:true%7D	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/account/login72b2.html	(from https://tuev-thueringen.de/)
09:03:23	325543/325543	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:23%20GMT	https://tuev-thueringen.de/checkout/cart	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/checkout/cart.html	(from https://tuev-thueringen.de/)
09:03:24	349555/349555	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:24%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/index.html	(from https://tuev-thueringen.de/)
09:03:24	341699/341699	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:24%20GMT	https://tuev-thueringen.de/arbeit-gesundheit/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/arbeit-gesundheit/index.html	(from https://tuev-thueringen.de/)
09:03:24	690/690	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Sep%202024%2004:03:24%20GMT	https://tuev-thueringen.de/navigation/0bea6edc86d84959bb6fc2df73512431	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/navigation/0bea6edc86d84959bb6fc2df73512431	(from https://tuev-thueringen.de/)
09:03:24	344945/344945	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:25%20GMT	https://tuev-thueringen.de/gebaeude-anlagen/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/gebaeude-anlagen/index.html	(from https://tuev-thueringen.de/)
09:03:25	346421/346421	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:25%20GMT	https://tuev-thueringen.de/umwelt-nachhaltigkeit/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/umwelt-nachhaltigkeit/index.html	(from https://tuev-thueringen.de/)
09:03:25	337411/337411	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:25%20GMT	https://tuev-thueringen.de/zeichen-zertifikate/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/zeichen-zertifikate/index.html	(from https://tuev-thueringen.de/)
09:03:25	343938/343938	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:26%20GMT	https://tuev-thueringen.de/unternehmen/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/unternehmen/index.html	(from https://tuev-thueringen.de/)
09:03:25	345814/345814	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:26%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/index.html	(from https://tuev-thueringen.de/)
09:03:26	337843/337843	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:26%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/amtliche-fahrzeuguntersuchungen/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/amtliche-fahrzeuguntersuchungen/index.html	(from https://tuev-thueringen.de/)
09:03:26	349695/349695	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:26%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/hauptuntersuchung/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/hauptuntersuchung/index.html	(from https://tuev-thueringen.de/)
09:03:26	333788/333788	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:27%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/hu-terminvereinbarung/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/hu-terminvereinbarung/index.html	(from https://tuev-thueringen.de/)
09:03:26	358946/358946	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:27%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/hu-zweitschrift-beantragen/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/hu-zweitschrift-beantragen/index.html	(from https://tuev-thueringen.de/)
09:03:27	337374/337374	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:27%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/abgasuntersuchung/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/abgasuntersuchung/index.html	(from https://tuev-thueringen.de/)
09:03:27	338222/338222	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:27%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/aenderungsabnahmen/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/aenderungsabnahmen/index.html	(from https://tuev-thueringen.de/)
09:03:27	341808/341808	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Sep%202024%2004:03:28%20GMT	https://tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/fahrzeug-gasanlagen/	C:/My%20Web%20Sites/german%20project/tuev-thueringen.de/mobilitaet-verkehr/kfz-dienstleistungen/fahrzeug-gasanlagen/index.html	(from https://tuev-thueringen.de/)
